Construction_ID,Construction_parameter_ID,Construction_parameter_value_name_ID,Construction_parameter_value_names_of_Construction_data::Value_name,Value_description,Construction_data_examples::Example_ID,Construction_data_references::Reference_ID,Construction_data_references::Pages
223,6.1,84,no indexing,"Set-1 clitics (suffixes) index A/S in the present series, and P/T arguments in the past: TAM-based split ergativity.",,404,
224,6.1,84,no indexing,,,404,
225,6.1,88,prefixes,"By oblique/indirective (set-2) prefixes. These differ from the absolutive prefixes in position, but also partly in form (in the 3rd person). Oblique agreement is virtually identical to ergative agreement differing only in position.
T like P/S is indexed in the first (leftmost) agreement position by set-1 (absolutive) markers. R is indexed by oblique agreement, also used for indexing obliques in combination with preverbs (sort of incorporated postpositions), as well as for nominal possessors.",,,
226,6.1,84,no indexing,P/T is indexed by cumulative prefixes also expressing the person of A.,,,
227,6.1,84,no indexing,P/T is indexed by cumulative prefixes also expressing the person of A.,,,
228,6.1,84,no indexing,,1702,409,
2,6.2,105,proclitics,...,,,
3,6.2,114,no indexing,,,,
4,6.2,114,no indexing,,,,
5,6.2,114,no indexing,,,,
6,6.2,114,no indexing,,,,
7,6.2,114,no indexing,,,,
8,6.2,111,suffixes,,1482,,
9,6.2,114,no indexing,,,,
10,6.2,111,suffixes,,1484,,
11,6.2,111,suffixes,,1485,,
12,6.2,114,no indexing,,,,
13,6.2,114,no indexing,,,,
14,6.2,114,no indexing,,,261,
15,6.2,114,no indexing,,,235,
16,6.2,114,no indexing,,,,
17,6.2,114,no indexing,,,235,
18,6.2,114,no indexing,,,,
19,6.2,114,no indexing,,,,
21,6.2,114,no indexing,,,,
22,6.2,114,no indexing,,,,
23,6.2,108,enclitics,,,,
24,6.2,108,enclitics,,,,
25,6.2,114,no indexing,,,,
26,6.2,114,no indexing,,,,
27,6.2,114,no indexing,,,,
28,6.2,109,prefixes,,,,
29,6.2,109,prefixes,,,,
30,6.2,114,no indexing,,,,
31,6.2,109,prefixes,,,,
32,6.2,111,suffixes,,,,
33,6.2,114,no indexing,,,,
34,6.2,114,no indexing,,,,
35,6.2,114,no indexing,,,,
36,6.2,114,no indexing,,,,
37,6.2,114,no indexing,,,,
38,6.2,105,proclitics,,,,
40,6.2,114,no indexing,"T cannot be clitic-doubled (Kordoni 2004, (23)):
*Ta dhídhakse tus fitités ta mathimatiká. (He taught the students the maths.)",,233,23
41,6.2,114,no indexing,,,,
42,6.2,108,enclitics,resumptive object enclitic,,,
43,6.2,114,no indexing,,,,
44,6.2,114,no indexing,,,,
45,6.2,114,no indexing,,,,
46,6.2,114,no indexing,,,,
47,6.2,114,no indexing,,,,
48,6.2,108,enclitics,,,,
49,6.2,109,prefixes,The object prefix cluster occurs between the tense marker and the stem (179); the T prefix precedes the R prefix (182).,,,
50,6.2,111,suffixes,,,,
51,6.2,108,enclitics,“Second position” enclitics cross-reference 1st/2nd person objects.,,,
54,6.2,114,no indexing,,,,
55,6.2,114,no indexing,,,,
56,6.2,111,suffixes,,,,
57,6.2,114,no indexing,,,,
58,6.2,114,no indexing,,,,
59,6.2,114,no indexing,,,211,
60,6.2,114,no indexing,,,211,
61,6.2,114,no indexing,,,211,
62,6.2,114,no indexing,,,211,
63,6.2,114,no indexing,,,211,
64,6.2,114,no indexing,,,,
65,6.2,114,no indexing,,,230,
66,6.2,114,no indexing,,,230,
67,6.2,114,no indexing,,,,
68,6.2,114,no indexing,,,,
69,6.2,114,no indexing,,,,
70,6.2,111,suffixes,,,,
71,6.2,116,unclear,Indexing is possible only for 1sg objects (p. 103); apparently also for  1st person Ts (not clear if also for 1sg Rs).,,241,103
72,6.2,114,no indexing,,,241,
73,6.2,114,no indexing,,,,
74,6.2,114,no indexing,,,,
75,6.2,114,no indexing,,,,
76,6.2,108,enclitics,Deictic (”attitudinal”) enclitics are morphologically distinct from pronominals.,1550,229,
77,6.2,111,suffixes,,,229,
79,6.2,105,proclitics,In the 3rd person object proclitics to the verb; cf. á’a= 3rd person singular object enclitic.,,,
80,6.2,105,proclitics,In the 3rd person object proclitics to the verb; cf. á’a= 3rd person sg object enclitic.,,,
82,6.2,114,no indexing,,,,
83,6.2,109,prefixes,,,,
84,6.2,111,suffixes,,,,
85,6.2,111,suffixes,,,,
86,6.2,114,no indexing,but optionally though plural O agreement,,,
87,6.2,109,prefixes,,,,
88,6.2,114,no indexing,,,,
89,6.2,109,prefixes,,,,
90,6.2,109,prefixes,,,,
91,6.2,114,no indexing,,,,
92,6.2,109,prefixes,,,,
93,6.2,109,prefixes,,,,
95,6.2,114,no indexing,,,,
96,6.2,105,proclitics,,,,
98,6.2,109,prefixes,,,,
99,6.2,114,no indexing,,,,
100,6.2,114,no indexing,,,,
101,6.2,114,no indexing,,,,
102,6.2,114,no indexing,,,,
103,6.2,114,no indexing,,,,
104,6.2,114,no indexing,,,,
105,6.2,109,prefixes,,,,
106,6.2,109,prefixes,,,,
107,6.2,114,no indexing,,,,
108,6.2,114,no indexing,,,,
109,6.2,114,no indexing,,,,
110,6.2,111,suffixes,accusative clitic pronoun (optional),,,
111,6.2,114,no indexing,,,,
112,6.2,114,no indexing,,,,
113,6.2,114,no indexing,,,,
114,6.2,114,no indexing,,,,
115,6.2,114,no indexing,,,,
118,6.2,114,no indexing,,,,
119,6.2,114,no indexing,,,,
120,6.2,114,no indexing,,,,
121,6.2,114,no indexing,,,,
122,6.2,114,no indexing,,,,
123,6.2,114,no indexing,,,,
124,6.2,114,no indexing,,,,
125,6.2,114,no indexing,,,,
126,6.2,109,prefixes,"T is marked either by 3rd person object gender prefixes (k- (MS/FM) ~ ? (N)), or by proclitics.",,293,
127,6.2,105,proclitics,by object proclitics,,,
128,6.2,114,no indexing,,,,
129,6.2,121,clitics,,,,
130,6.2,114,no indexing,,,,
132,6.2,114,no indexing,,,,
133,6.2,111,suffixes,,,,
134,6.2,108,enclitics,"T is normally unmarked and indexed  by object clitics (see the forms above). If T is animate and higher than A in animacy, the it is dative-marked and indexed by dative clitics  (see an example of a double Dative construction under Animacy effects)",,326,
135,6.2,108,enclitics,"T (like P and S) are marked by (i) suffixal gender/number agreement; (ii) by pronominal (nominative/absolutive) clitics, distinct both from ergative enclitics and from dative enclitics.",,326,
136,6.2,114,no indexing,,,327,
137,6.2,111,suffixes,"Optional number agreement with T/P, present if T/P is  definite/topical.",,327,
138,6.2,114,no indexing,,,327,
139,6.2,114,no indexing,,,328,
140,6.2,108,enclitics,,,328,
141,6.2,109,prefixes,"P is cross-referenced by the object agreement prefixes (the ca- set, called after 1sg form).",,329,
142,6.2,114,no indexing,,,330,
143,6.2,114,no indexing,,,330,
144,6.2,114,no indexing,,,331,
145,6.2,111,suffixes,Verbal suffixes indexing (referential) objects.,,331,
146,6.2,114,no indexing,,,332,
147,6.2,114,no indexing,,,332,
148,6.2,114,no indexing,,,332,
149,6.2,114,no indexing,,,335,
150,6.2,114,no indexing,,,335,
151,6.2,111,suffixes,Object suffixes (optional) used to index the “main” object: P and R in the ergative construction (none in the antipassive variant).,,335,
152,6.2,114,no indexing,,,,
153,6.2,114,no indexing,,,,
154,6.2,114,no indexing,,,,
155,6.2,114,no indexing,,,,
156,6.2,114,no indexing,,,,
157,6.2,111,suffixes,"example with both R and T object suffixes (applicative construction):
tiíta ke nìí~ !’úí~-pa-tsi-pi
I DECL FUT watch-APPL-2SG.M-3SG.M
‘I will watch over him for you.’",,338,
158,6.2,114,no indexing,,,,
159,6.2,114,no indexing,,,,
160,6.2,109,prefixes,"By absolutive agreement prefixes, also used for P and S.",,,
161,6.2,109,prefixes,,,,
162,6.2,114,no indexing,,,,
163,6.2,114,no indexing,,,,
164,6.2,114,no indexing,,,,
165,6.2,114,no indexing,,,,
166,6.2,114,no indexing,,,,
167,6.2,114,no indexing,,,,
168,6.2,111,suffixes,"Apparenly only T can be indexed (optionally) in this construction, if pronominal (no examples given).",,354,
169,6.2,114,no indexing,,,356,
170,6.2,272,prefixes and/or suffixes,"Two different conjugations of the finite verb; S/P agreement is cumulative by suffixes or circumfixes, not straightforwardly relatable to intransitive agreement (i.e. not either ergative or accusative).",,356,142 f.
171,6.2,114,no indexing,,,,
172,6.2,114,no indexing,,,,
173,6.2,114,no indexing,,,,
174,6.2,114,no indexing,,,,
175,6.2,114,no indexing,,,,
176,6.2,114,no indexing,,,,
177,6.2,114,no indexing,,,333,
178,6.2,114,no indexing,,,,
179,6.2,114,no indexing,,,,
180,6.2,114,no indexing,,,,
181,6.2,114,no indexing,,,,
182,6.2,114,no indexing,,,,
183,6.2,114,no indexing,,,,
184,6.2,114,no indexing,,,,
185,6.2,111,suffixes,A special “secondary object”agreement for Ts; it is impoverished with respect to (primary)) object agreement; does not distinguish person.,,,
186,6.2,114,no indexing,,,,
187,6.2,124,none or prefix,No object agreement for T unless it is topical.,,,
188,6.2,124,none or prefix,,,,
189,6.2,114,no indexing,,,,
190,6.2,114,no indexing,No agreement proper but the verb has a nasalised for for 3rd person animate P/T arguments.,,,
191,6.2,114,no indexing,,,,
192,6.2,114,no indexing,,,,
193,6.2,114,no indexing,,,,
195,6.2,114,no indexing,,,,
196,6.2,114,no indexing,,,,
197,6.2,114,no indexing,,,,
198,6.2,114,no indexing,,,,
199,6.2,114,no indexing,,,,
200,6.2,114,no indexing,,,,
201,6.2,114,no indexing,,,,
202,6.2,114,no indexing,,,,
203,6.2,114,no indexing,,,,
204,6.2,114,no indexing,,,,
205,6.2,109,prefixes,"T (like P) is marked by object prefixes, which are highly irregular, or can be regarded as cumulatively expressed with the subject (subject is additionally encoded through suffixes though). For example, 1>2 configuration is marked by a combination of a g- prefix in combination with the -am suffix.",,,
206,6.2,272,prefixes and/or suffixes,,,,
207,6.2,114,no indexing,,,,
209,6.2,114,no indexing,,,,
210,6.2,111,suffixes,,,,
211,6.2,114,no indexing,,,,
212,6.2,114,no indexing,,,,
215,6.2,114,no indexing,,,,
216,6.2,111,suffixes,Indexing by a regular object agreement suffixes.,,,
217,6.2,108,enclitics,These are the regular object agreement markers.,,,
218,6.2,108,enclitics,These are the regular object agreement markers.,,,
219,6.2,108,enclitics,These are the regular object agreement markers.,,,
220,6.2,105,proclitics,T (like P) can be marked by the set-2 enclitics that normally procliticize to the verb.,,,
221,6.2,105,proclitics,T (like P) can be marked by the set-2 enclitics that normally procliticize to the verb.,,,
222,6.2,105,proclitics,T (like P) can be marked by the set-2 enclitics that normally procliticize to the verb.,,,
223,6.2,111,suffixes,Set-1 clitics attach (optionally) as suffixes to the verb marking T/P arguments in the past tenses.,,,
224,6.2,111,suffixes,optional,,,
225,6.2,109,prefixes,By absolutive prefixes (set 1) in the first prefix position.,,,
226,6.2,109,prefixes,"As P, T is marked by  cumulative subject-object prefixes.",,,
227,6.2,109,prefixes,"As P, T is marked by  cumulative subject-object prefixes.",,,
228,6.2,109,prefixes,,,,
8,8,,,"Ditransitives proper may be considered a closed class of only 2 verbs ‘give’, and ‘give as a gift’) in terms of morphological structure (involve applicative rather than causative suffix), and syntactic behaviour (allow patterns (1)-(3) (possibly third is kaibwada ‘ask’  see 7.1.)",,334,
9,8,,,"This is the main construction for trivalent verbs, in particular, for causative verbs which constitute most derived ditransitives (see derived ditransitives)",,334,
12,8,,,"Double object construction available for TEACH, TELL/SAY, ASK, DRESS, as well as  is available for causatives of transitives.",,,
14,8,,,"1) Verbs which occur only in a double object: GIVE (gei), TELL, PROMISE, ASK, STEAL, snatch, rob, win (from?).
 2) Verbs which optionally take double object (drop preposition): song GIVE, TEACH, add, pass, return, payback, pay, OFFER (promise to give), lend",,261,
18,8,,,"GIVE, BRING, FEED,. Also causatives of transitives may take Dative Rs (but also can for a double O construction).",,,
19,8,,,"2 GIVE verbs: also SHOW, SEND (p. 107. ex. (526)) I",6770,259,204
20,8,,,"TELL, ASK (smb), speak to, demand from, BORROW from
NB but BORROW, GET, etc can take also an Ablative-marking (N-LOC + nine ‘from’); see (1055), (1056a)",6771,259,210
,,,,,6772,,
21,8,,,entrust and (other) causatives (p. 280).,,259,205
25,8,,,"Verbs only with a prepositional O (GEI obligatory): BRING, TOSS, THROW, write, mail, rent, save, telephone, kick, move, PUSH.
For verbs which optionally take GEI: song GIVE, TEACH, add, pass, return, payback, pay, OFFER (promise to give), lend",,,
26,8,,,"Quasi ditransitives
(380, ex. 23) he cheat Zhangsan 30 dollar
But here Zhansan is likely to be P, and not a (shifted) R. Evidence for this: it can occur in a BA constructions, while R can never do:
That is: (ex. 32b) -> he BA Zhangsan cheat (30 dollar)",,,
33,8,,,"Among ditransitives (DAT-ACC) noted: GIVE1 (to 3rd person), GIVE2 (to 1st/2nd [person), SELL, SEND, SHOW, TELL,“etc”.
NB suppletive GIVE.",,78,353
35,8,,,"anno- ‘give’, esittel- ‘introduce’, ...",,,
38,8,,,"This is the most common structure with ditransitive verbs. Examples: dhíno ‘give’, stélno ‘send’, nikiazo ‘rent out’",,,
39,8,,,Apparently possible with all ditransitive verbs.,,,
40,8,,,"Possible with “a limited set of verbs”, e.g. servíro ‘serve’, pliróno ‘pay’, dhidhásko ‘teach’",,,
43,8,130,open class,most canonical ditransitives,,,
44,8,130,open class,"Beneficiaries are introduced with GIVE (serial) verbs (build    house   give   3SG), as well as benecipients (open    door       give    3SG). Except for GIVE which cannot double in this construction.",6965,,
45,8,,,"Caused motion verbs (SEND, BRING, THROW, CARRY) appear in the serial verb construction including GIVE or GO verbs or both (send  letter  give   he ‘send to him’, send letter go Bangkok ‘send a letter to  Bangkok).",,,
46,8,,,"There are several types of ditransitive constructions distinguished by alternations:
Goal type: pay O debt ~ debt to O
Source type: begged O meat ~ beg meat (monotransitive: O =T)
Instr. type: hit O stick ~ hit=throw stick (O =T)
                   shot O gun ~ shot O (O =G)
Essive type: took A (as) mistress ~ took--> caught A (O =G)",,36,
48,8,,,"four verbs: tya- ‘give’, kweja- ‘inform, tell’, baka- ‘ask for’, seka- ‘steal’",,201,17
49,8,,,the grammar does not suggest any relevant morphosyntactic differences among different ditransitive verbs.,,,
51,8,,,"Basic ditransitives capable of forming a double O construction include either ‘give’ verbs with R or ‘steal’ type verbs  with Source argument

NB BEN is encoded by BEN suffix (p. 327 (20) made medicine horse-for)",6773,86,327
53,8,,,Basic ditransitives capable of forming a double O construction include either ‘give’ verbs with R or ‘steal’ type verbs  with Source argument,,86,
54,8,,,"No peculiarities known; source cites examples with several ditransitive verbs, apparently all taking the same construction.",,,
55,8,,,"No peculiarities known; source cites examples with several ditransitive verbs, apparently all taking the same construction.",,,
56,8,,,"In general, no peculiarities known; source cites examples with several ditransitive verbs, apparently all taking the same construction. However, in standard Georgian, some verbs allow the Recipient to be expressed in the dative in the passive; however, syntactically, this dative N behaves exactly like a noun phrase with -tvis, i.e. lacks indirect object properties.",,,
